Column,Type,Name,Size,Score,P value,Benj. Hoch. FDR,Mean,Median
Type_2_pneumocytes avg_logFC,KEGG name,MAPK signaling pathway - yeast,12,0.479245046,0.004048097,0.020540344,0.071496412,0.0429889
Interstitial macrophages,KEGG name,Allograft rejection,27,0.474071711,2.03E-05,0.000793448,0.233085538,0.228686199
Alveolar_macrophage avg_logFC,GOCC name,phagocytic cup,12,0.472170022,0.004628891,0.093519296,0.167230774,0.166367449
Alveolar_macrophage avg_logFC,KEGG name,Glycosphingolipid biosynthesis - globo series,9,0.469584796,0.014719159,0.08066099,0.134338755,0.036873121
Type_2_pneumocytes avg_logFC,GOBP name,"regulation of alternative nuclear mRNA splicing, via spliceosome",15,0.468550037,0.001679845,0.053150303,0.070740188,0.071881473
Type_2_pneumocytes avg_logFC,GOMF name,SMAD binding,15,0.468372506,0.001686687,0.080960971,0.083588165,0.061726
Mki67+_proliferating_cells avg_logFC,GOCC name,MHC protein complex,25,0.467060474,5.33E-05,0.021189685,0.257409163,0.233116895
Type_2_pneumocytes avg_logFC,GOCC name,host cell part,14,0.462179037,0.002753792,0.052943873,0.058490917,0.05406042
Type_2_pneumocytes avg_logFC,GOCC name,other organism part,14,0.462179037,0.002753792,0.052103494,0.058490917,0.05406042
Interstitial macrophages,KEGG name,Type I diabetes mellitus,30,0.460403202,1.29E-05,0.000705038,0.225152244,0.123354048
Plasma_cells avg_logFC,GOMF name,RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription,33,0.460402718,4.79E-06,0.001442126,0.20199168,0.190850496
Type_2_pneumocytes avg_logFC,GOCC name,MHC protein complex,32,0.457249232,7.61E-06,0.000432039,0.145233272,0.05255628
Type_2_pneumocytes avg_logFC,GOBP name,organelle transport along microtubule,21,0.456335418,0.000294893,0.014038829,0.0630979,0.049544118
Club_cells avg_logFC,GOCC name,multivesicular body,17,0.455688229,0.001144772,0.064979466,0.069340187,0.029237811
Type_2_pneumocytes avg_logFC,GOBP name,monoamine transport,14,0.454645441,0.003227866,0.085546767,0.079158422,0.050230956
Alveolar_macrophage avg_logFC,GOCC name,endocytic vesicle membrane,30,0.454083233,1.68E-05,0.001432512,0.129514265,0.152705997
Alveolar_macrophage avg_logFC,GOCC name,phagocytic vesicle membrane,30,0.454083233,1.68E-05,0.001337011,0.129514265,0.152705997
Type_2_pneumocytes avg_logFC,KEGG name,Terpenoid backbone biosynthesis,14,0.450907587,0.003489686,0.018387962,0.088559315,0.05112954
Type_2_pneumocytes avg_logFC,Keywords,Bromodomain,29,0.447153075,3.08E-05,0.000548438,0.087659495,0.0775773
Ciliated_cells avg_logFC,GOCC name,proteasome core complex,18,0.445944575,0.001056687,0.096890095,0.113585214,0.104202155
B_cells avg_logFC,KEGG name,Asthma,15,0.445014078,0.002849786,0.028920052,0.126284102,0.155934796
Alveolar_macrophage avg_logFC,KEGG name,Collecting duct acid secretion,19,0.444581877,0.000795751,0.013627242,0.156616724,0.131231904
B_cells avg_logFC,KEGG name,Autoimmune thyroid disease,30,0.443348039,2.66E-05,0.000727533,0.186648817,0.165608704
Mki67+_proliferating_cells avg_logFC,KEGG name,Autoimmune thyroid disease,32,0.439486338,1.71E-05,0.001168814,0.243055924,0.214465
Type_2_pneumocytes avg_logFC,GOBP name,myeloid cell activation involved in immune response,25,0.43887164,0.000145938,0.007816051,0.081486194,0.056920301
Type_2_pneumocytes avg_logFC,GOBP name,response to peptidoglycan,17,0.438611966,0.001743989,0.055010564,0.063624568,0.040131561
Megakaryocytes avg_logFC,GOCC name,Z disc,31,0.437664071,2.56E-05,0.03048185,0.799857269,0.763071716
Type_2_pneumocytes avg_logFC,Keywords,Sterolbiosynthesis,21,0.436822308,0.000530304,0.006420062,0.082840966,0.062376872
Mki67+_proliferating_cells avg_logFC,GOBP name,T cell receptor signaling pathway,29,0.433938639,5.29E-05,0.038841654,0.284432826,0.261620492
Type_2_pneumocytes avg_logFC,GOBP name,regulation of erythrocyte differentiation,30,0.432995345,4.06E-05,0.002625356,0.057873922,0.054821955
Interstitial macrophages,KEGG name,Other glycan degradation,13,0.431615078,0.007061418,0.092134692,0.126803583,0.0993983
Type_2_pneumocytes avg_logFC,GOBP name,response to electrical stimulus,17,0.431013814,0.002094801,0.063355414,0.058963439,0.051953331
Mki67+_proliferating_cells avg_logFC,KEGG name,Allograft rejection,33,0.429998824,1.93E-05,0.001059511,0.242891894,0.220033795
Type_2_pneumocytes avg_logFC,GOBP name,B cell receptor signaling pathway,24,0.428265277,0.000281972,0.013486107,0.077498139,0.055660911
Alveolar_macrophage avg_logFC,GOCC name,brush border membrane,21,0.424513369,0.00075995,0.031236554,0.089084164,0.07753633
Plasma_cells avg_logFC,GOCC name,immunological synapse,17,0.424081644,0.002477727,0.073836263,0.16306794,0.1836766
Alveolar_macrophage avg_logFC,KEGG name,Other glycan degradation,14,0.423316648,0.006106157,0.050699609,0.117826239,0.100395933
vascular_endothelial_cells avg_logFC,KEGG name,Allograft rejection,28,0.421380237,0.000114498,0.006274506,0.197549203,0.126166303
Mesothelial_cells avg_logFC,Pfam,C1-set,34,0.421166943,2.16E-05,0.092058759,0.252523158,0.141520802
Cd103+/Cd11b-_dendritic_cells avg_logFC,Keywords,Bromodomain,27,0.421064737,0.000153623,0.010926406,0.198552112,0.239897996
B_cells avg_logFC,KEGG name,B cell receptor signaling pathway,67,0.420193877,2.81E-09,7.70E-07,0.155788663,0.144547701
classical_monocyte_(Ly6c2+) avg_logFC,KEGG name,Citrate cycle (TCA cycle),26,0.420121133,0.000210809,0.05776171,0.305687442,0.379965395
Alveolar_macrophage avg_logFC,GOCC name,MHC class I protein complex,21,0.417174324,0.000937049,0.037232089,0.117239505,0.098834783
vascular_endothelial_cells avg_logFC,Pfam,C1-set,36,0.416104594,1.57E-05,0.067088535,0.196805447,0.113322452
Type_2_pneumocytes avg_logFC,Pfam,C1-set,41,0.413604688,4.62E-06,0.019668813,0.13748285,0.053845041
Type_2_pneumocytes avg_logFC,GOCC name,photoreceptor connecting cilium,16,0.413513866,0.004189895,0.068415812,0.056808456,0.060578743
B_cells avg_logFC,KEGG name,Allograft rejection,30,0.411210784,9.75E-05,0.001781593,0.169607576,0.156083249
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of T cell mediated immunity,24,0.410305049,0.000503221,0.021560916,0.131219232,0.069453817
vascular_endothelial_cells avg_logFC,KEGG name,Autoimmune thyroid disease,28,0.409639401,0.000176741,0.008071192,0.195648445,0.126166303
Plasma_cells avg_logFC,KEGG name,Butanoate metabolism,15,0.408447594,0.006182543,0.084700836,0.136882432,0.130347401
Type_2_pneumocytes avg_logFC,GOBP name,embryonic hemopoiesis,17,0.404946462,0.003847634,0.094880614,0.066715206,0.061726
Type_2_pneumocytes avg_logFC,GOBP name,cholesterol biosynthetic process,23,0.402633474,0.000831163,0.031192862,0.078912715,0.062376872
Alveolar_macrophage avg_logFC,GOCC name,protein phosphatase type 2A complex,17,0.40216022,0.00410128,0.085767123,0.132325071,0.1142838
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of peptide antigen,32,0.40180434,8.39E-05,0.004927376,0.133681789,0.060193475
Type_2_pneumocytes avg_logFC,GOBP name,regulation of lymphocyte migration,19,0.400652181,0.002501931,0.072065413,0.077594688,0.036023669
B_cells avg_logFC,KEGG name,Type I diabetes mellitus,32,0.40027026,8.96E-05,0.001889069,0.173655889,0.156083249
Cd103+/Cd11b-_dendritic_cells avg_logFC,GOMF name,core promoter proximal region DNA binding,30,0.400232239,0.000149435,0.098985584,0.138983333,0.134112604
Cd103+/Cd11b-_dendritic_cells avg_logFC,GOMF name,core promoter proximal region sequence-specific DNA binding,30,0.400232239,0.000149435,0.082487986,0.138983333,0.134112604
Type_2_pneumocytes avg_logFC,KEGG name,Graft-versus-host disease,33,0.399982088,7.01E-05,0.000800609,0.126363974,0.04672331
B_cells avg_logFC,KEGG name,Antigen processing and presentation,52,0.397280102,7.33E-07,4.02E-05,0.16537255,0.140112951
Mki67+_proliferating_cells avg_logFC,GOMF name,protein serine/threonine phosphatase activity,35,0.39481699,5.35E-05,0.059092422,0.180791321,0.173889294
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of smooth muscle cell proliferation,34,0.39315288,7.29E-05,0.004409374,0.057993276,0.067470754
Type_2_pneumocytes avg_logFC,GOCC name,actin filament,23,0.392676736,0.001115877,0.026080894,0.062754899,0.038637891
Type_2_pneumocytes avg_logFC,KEGG name,MAPK signaling pathway - fly,13,0.391267565,0.014586904,0.060557752,0.074390882,0.061648332
Alveolar_macrophage avg_logFC,Keywords,Nitration,37,0.390726323,3.93E-05,0.002487297,0.092636425,0.074955881
Interstitial macrophages,KEGG name,Viral myocarditis,49,0.390212758,2.34E-06,0.000213658,0.177611015,0.159723103
B_cells avg_logFC,KEGG name,Fc epsilon RI signaling pathway,55,0.38906814,6.12E-07,4.19E-05,0.12880014,0.109280497
vascular_endothelial_cells avg_logFC,KEGG name,Graft-versus-host disease,28,0.388077066,0.000381248,0.014923144,0.187060343,0.110662267
Type_2_pneumocytes avg_logFC,GOBP name,embryonic placenta development,20,0.387784469,0.002682641,0.075784604,0.08090117,0.042089116
Type_2_pneumocytes avg_logFC,KEGG name,Primary immunodeficiency,28,0.386523707,0.00040077,0.003431591,0.049506948,0.035842421
Type_2_pneumocytes avg_logFC,GOBP name,regulation of T cell mediated immunity,30,0.386181123,0.000251871,0.012392281,0.121081358,0.03758773
Type_2_pneumocytes avg_logFC,Pfam,Bromodomain,36,0.386048803,6.13E-05,0.087106147,0.077429075,0.043372331
Goblet_cells avg_logFC,GOBP name,antigen processing and presentation,53,0.38599548,1.19E-06,0.012241754,0.136390476,0.086577848
Alveolar_macrophage avg_logFC,GOBP name,positive regulation of osteoblast differentiation,39,0.384998112,3.20E-05,0.008657193,0.125275851,0.066124633
Type_2_pneumocytes avg_logFC,Keywords,Steroidbiosynthesis,29,0.383647661,0.000349798,0.004975872,0.073102155,0.046651348
Type_2_pneumocytes avg_logFC,GOBP name,response to interferon-beta,23,0.383603866,0.001451342,0.047228308,0.056304243,0.04539448
Plasma_cells avg_logFC,GOMF name,RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity,52,0.381859507,1.96E-06,0.000720213,0.151310077,0.177201249
Mki67+_proliferating_cells avg_logFC,KEGG name,Antigen processing and presentation,54,0.381150378,1.30E-06,0.000177647,0.200479443,0.169011749
Mki67+_proliferating_cells avg_logFC,GOBP name,gene silencing,43,0.379867379,1.66E-05,0.034087941,0.159892246,0.163779899
Mesothelial_cells avg_logFC,KEGG name,Graft-versus-host disease,25,0.378553001,0.001056779,0.09651914,0.263511717,0.082292721
Alveolar_macrophage avg_logFC,GOBP name,regulation of leukocyte mediated cytotoxicity,31,0.377892571,0.000272265,0.041786615,0.104963539,0.109025799
B_cells avg_logFC,KEGG name,Viral myocarditis,53,0.377311241,2.05E-06,8.03E-05,0.154101015,0.129528001
Alveolar_macrophage avg_logFC,GOCC name,protein serine/threonine phosphatase complex,35,0.377140168,0.000113447,0.007117336,0.106760049,0.117299996
Alveolar_macrophage avg_logFC,GOCC name,lysosomal membrane,90,0.374830957,8.24E-10,3.27E-07,0.113003499,0.109806601
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of exogenous peptide antigen,21,0.37257465,0.003123269,0.084517293,0.108849867,0.02177361
Type_2_pneumocytes avg_logFC,GOBP name,"retrograde transport, endosome to Golgi",25,0.369244671,0.001396625,0.045883371,0.058112706,0.066258833
Type_2_pneumocytes avg_logFC,GOBP name,sterol biosynthetic process,28,0.366795087,0.000782499,0.03002402,0.069825497,0.044178814
Type_2_pneumocytes avg_logFC,KEGG name,Autoimmune thyroid disease,36,0.365427591,0.000148497,0.001506969,0.10821894,0.03617255
non-classical_monocyte_(Ly6c2-) avg_logFC,KEGG name,Graft-versus-host disease,26,0.364274302,0.001312547,0.05993966,0.280364663,0.1837193
non-classical_monocyte_(Ly6c2-) avg_logFC,KEGG name,Type I diabetes mellitus,28,0.364134058,0.000859367,0.078488887,0.272023567,0.177387699
B_cells avg_logFC,GOBP name,antigen processing and presentation of peptide antigen,31,0.363081726,0.000469955,0.089491695,0.153100116,0.109304897
Type_2_pneumocytes avg_logFC,KEGG name,Allograft rejection,35,0.361849012,0.000212237,0.001938431,0.111408023,0.041285999
Type_2_pneumocytes avg_logFC,GOBP name,negative regulation of osteoblast differentiation,26,0.360920867,0.001447154,0.04724154,0.046961016,0.07540239
Type_2_pneumocytes avg_logFC,GOBP name,erythrocyte differentiation,40,0.360570178,7.97E-05,0.004740036,0.074272016,0.034304794
Eosinophils,KEGG name,Fc epsilon RI signaling pathway,32,0.359948308,0.000434033,0.039641647,0.416459339,0.458486557
Cd4+_T_cells avg_logFC,KEGG name,Primary immunodeficiency,26,0.358090897,0.001581453,0.039392566,0.17083409,0.144876003
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,44,0.356893961,4.22E-05,0.00269567,0.101800694,0.02923083
Alveolar_macrophage avg_logFC,GOBP name,regulation of cell killing,32,0.355735467,0.000498384,0.064871965,0.100860356,0.107010998
Type_2_pneumocytes avg_logFC,GOBP name,T cell proliferation,28,0.355702782,0.001124637,0.039202163,0.063168325,0.04494928
Type_2_pneumocytes avg_logFC,GOMF name,RNA polymerase II core promoter proximal region sequence-specific DNA binding,27,0.355469303,0.00139042,0.068732396,0.065104078,0.080562681
Type_2_pneumocytes avg_logFC,KEGG name,Osteoclast differentiation,103,0.354784714,5.04E-10,1.38E-07,0.067272845,0.04745876
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of inflammatory response,46,0.354100845,3.27E-05,0.002224061,0.064991559,0.029800081
Type_2_pneumocytes avg_logFC,GOMF name,RNA polymerase II regulatory region sequence-specific DNA binding,76,0.354070669,9.58E-08,1.44E-05,0.054160051,0.03593125
Type_2_pneumocytes avg_logFC,GOMF name,core promoter proximal region sequence-specific DNA binding,36,0.352776007,0.000250028,0.015924862,0.060500697,0.056528537
Alveolar_macrophage avg_logFC,GOCC name,phagocytic vesicle,26,0.352688122,0.001858016,0.063278701,0.084096703,0.096188292
B_cells avg_logFC,GOCC name,MHC protein complex,29,0.351665319,0.001051006,0.059657122,0.156656355,0.139098406
Type_2_pneumocytes avg_logFC,GOCC name,integrin complex,29,0.348803292,0.00115163,0.026398898,0.067267362,0.043456171
Type_2_pneumocytes avg_logFC,KEGG name,Natural killer cell mediated cytotoxicity,101,0.348697111,1.43E-09,1.96E-07,0.083676056,0.043217599
Interstitial macrophages,KEGG name,Staphylococcus aureus infection,32,0.348398472,0.000651755,0.01488173,0.145053286,0.119799249
Alveolar_macrophage avg_logFC,KEGG name,Graft-versus-host disease,31,0.34773721,0.000808534,0.013031662,0.125381825,0.06083639
Alveolar_macrophage avg_logFC,GOCC name,MHC protein complex,30,0.34757873,0.000987751,0.037980608,0.109283189,0.047209449
Type_2_pneumocytes avg_logFC,GOBP name,regulation of cell size,29,0.346863388,0.001227042,0.041505504,0.060579032,0.05115664
Alveolar_macrophage avg_logFC,GOBP name,unsaturated fatty acid metabolic process,40,0.346495091,0.000150379,0.028115414,0.072610126,0.063141355
B_cells avg_logFC,GOBP name,negative regulation of lymphocyte proliferation,34,0.344151827,0.000517948,0.09683752,0.143284108,0.117368501
B_cells avg_logFC,GOBP name,negative regulation of mononuclear cell proliferation,34,0.344151827,0.000517948,0.095108279,0.143284108,0.117368501
